games_2023,minutes_played_2023,goals_2023,assists_2023,goals_against_2023,goals_for_2023,clean_sheet_2023,position,sub_position,foot,height_in_cm,age,term_days_remaining,market_value_in_eur,highest_market_value_in_eur,yellow_cards_2023,red_cards_2023,current_club_domestic_competition_id
10.0,294.0,0.0,0.0,12.0,19.0,5.0,1,7,1.0,184.0,27.0,435,17000000.0,55000000.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.0,177.0,28.0,70,125000.0,150000.0,0.0,0.0,2
34.0,1954.0,8.0,4.0,56.0,45.0,9.0,3,9,1.0,172.0,29.0,800,22000000.0,25000000.0,0.0,0.0,0
12.0,431.0,0.0,2.0,12.0,15.0,5.0,3,9,1.0,175.0,26.0,800,6500000.0,15000000.0,1.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8,1.0,178.0,29.0,70,700000.0,1200000.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,1.0,177.0,28.0,619,2500000.0,3000000.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1.0,183.0,25.0,405,2300000.0,3000000.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,1.0,183.0,25.0,619,1200000.0,1800000.0,0.0,0.0,1
30.0,1656.0,7.0,3.0,43.0,49.0,8.0,1,6,0.0,180.0,32.0,70,4000000.0,4000000.0,2.0,0.0,1
40.0,3600.0,0.0,0.0,40.0,93.0,13.0,0,0,1.0,196.0,25.0,800,50000000.0,65000000.0,3.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0.0,182.0,25.0,70,350000.0,450000.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,175.0,25.0,70,500000.0,500000.0,0.0,0.0,2
